,Win_team,Team_1_pitcher_WHIP,Team_1_pitcher_piAn,Team_1_pitcher_piHom,Team_1_pitcher_sam,Team_1_pitcher_ball,Team_1_pitcher_ja,Team_1_pitcher_war,Team_2_pitcher_WHIP,Team_2_pitcher_piAn,Team_2_pitcher_piHom,Team_2_pitcher_sam,Team_2_pitcher_ball,Team_2_pitcher_ja,Team_2_pitcher_war,Team_1_hitter_hit,Team_1_hitter_homrun,Team_1_hitter_sam,Team_1_hitter_ball,Team_1_hitter_deg,Team_1_hitter_ta,Team_1_hitter_chul,Team_1_hitter_do,Team_1_hitter_war,Team_1_hitter_ops,Team_2_hitter_hit,Team_2_hitter_homrun,Team_2_hitter_sam,Team_2_hitter_ball,Team_2_hitter_deg,Team_2_hitter_ta,Team_2_hitter_chul,Team_2_hitter_do,Team_2_hitter_war,Team_2_hitter_ops
0,1,1.03,0.2188679245283019,0.01509433962264151,0.9182643794147326,0.1513622603430878,2.542885973763875,8.29,1.55,0.24738675958188155,0.027874564459930317,0.796875,0.4375,5.34375,0.2,0.29366666666666674,0.0249678052325341,0.15884194423636014,0.012143907910741271,0.15718618193378842,0.15452899292060265,0.299852145537442,0.658068783068783,0.658068783068783,0.658068783068783,0.2782222222222221,0.029601669495755194,0.18475558852640875,0.0129063516601301,0.1426008803387397,0.16344111086311752,0.2859307441929613,0.5968152218152218,2.2855555555555562,0.7709999999999999
1,0,1.49,0.276566757493188,0.025885558583106268,0.5878787878787879,0.2545454545454545,4.909090909090909,1.33,1.88,0.3076923076923077,0.019230769230769232,0.5882352941176471,0.3921568627450981,7.0588235294117645,-0.32,0.2423261541923869,0.013378542165769978,0.20283758032628849,0.01496222829570792,0.10401358001778367,0.10442343910949692,0.2502061272603693,0.3773073387404888,0.3773073387404888,0.3773073387404888,0.20957383937757207,0.0260501072396001,0.23551697036509645,0.011293985947712129,0.12268332261023228,0.10892613353443037,0.21667785652059668,0.407945066020288,0.9355555555555554,0.6153302137431413
2,0,1.02,0.19047619047619047,0.012870012870012873,1.055612770339856,0.2626158599382081,2.502574665293512,7.51,1.45,0.2571743929359823,0.019867549668874173,0.7335907335907337,0.3281853281853282,4.343629343629344,3.18,0.2602078639403293,0.026053446868130683,0.18229320333943447,0.010957261400148074,0.13906970372531846,0.13599340421636316,0.2662197674858894,0.6260253528622409,0.6260253528622409,0.6260253528622409,0.2878888888888889,0.0363286965125578,0.2068730029971188,0.008624156883535425,0.1515142973168969,0.16443478073738482,0.29117764937173723,0.3867715846402973,2.8877777777777784,0.8141111111111109
3,0,1.26,0.22467532467532467,0.01818181818181818,0.9125683060109292,0.3114754098360656,3.0491803278688523,5.59,1.42,0.2596899224806202,0.050387596899224806,0.7796610169491526,0.288135593220339,5.186440677966102,0.13,0.29900000000000004,0.04020846587903363,0.19559507551963384,0.019986822301401957,0.16690942526141836,0.17071178685713562,0.31013005949340666,0.4900083542188806,0.4900083542188806,0.4900083542188806,0.27043726530349804,0.03030150925794308,0.19819285605923645,0.01597220259121805,0.1432147005510671,0.1499756831375263,0.2804720408594412,0.4965300122022927,1.8388888888888888,0.7517150594221538
4,0,1.31,0.2149122807017544,0.013157894736842105,0.9813084112149532,0.3925233644859813,3.616822429906542,2.36,1.42,0.2412868632707775,0.01742627345844504,0.8657757117954678,0.3718768158047647,4.706565950029052,2.56,0.2530000000000001,0.022552759192444302,0.2305887931603281,0.014223486682404769,0.14226362265745254,0.14367126806777406,0.2613602339826299,0.5341606541606542,0.5341606541606542,0.5341606541606542,0.2608817097479424,0.025530961470530782,0.19949911336812592,0.018983283672411397,0.1308676919709704,0.1414443253394631,0.27230248525961703,0.17242171782545604,2.2122222222222225,0.7307150594221536
5,0,1.62,0.2446280991735537,0.014876033057851241,0.6439393939393939,0.5,4.636363636363637,1.99,1.52,0.26720647773279355,0.016194331983805668,0.5,0.3392857142857143,4.5,0.81,0.30166666666666675,0.02493913139740865,0.13838316287435298,0.013477241244074605,0.15304281275816115,0.1540630430998141,0.3088374622150664,0.6395502645502646,0.6395502645502646,0.6395502645502646,0.2782222222222221,0.029601669495755194,0.18475558852640875,0.0129063516601301,0.1426008803387397,0.16344111086311752,0.2859307441929613,0.5968152218152218,2.2855555555555562,0.7709999999999999
6,1,2.77,0.3673469387755102,0.020408163265306117,0.7317073170731708,0.7317073170731708,14.26829268292683,-0.53,1.78,0.2584856396866841,0.0248041775456919,0.6913580246913579,0.5555555555555556,6.166666666666668,-0.22,0.2423261541923869,0.013378542165769978,0.20283758032628849,0.01496222829570792,0.10401358001778367,0.10442343910949692,0.2502061272603693,0.3773073387404888,0.3773073387404888,0.3773073387404888,0.19267777134773675,0.03007471813325246,0.247100718373454,0.012669621368881891,0.12285260014709215,0.11401126726692447,0.20035678014303945,0.4024437627854681,0.9744444444444444,0.5887119398319619
7,0,1.5,0.2708333333333333,0.03333333333333333,0.5597014925373134,0.2891791044776119,5.205223880597014,0.54,1.25,0.2275449101796407,0.023952095808383242,0.6962025316455697,0.2911392405063291,4.10126582278481,2.61,0.2602078639403293,0.026053446868130683,0.18229320333943447,0.010957261400148074,0.13906970372531846,0.13599340421636316,0.2662197674858894,0.6260253528622409,0.6260253528622409,0.6260253528622409,0.2878888888888889,0.0363286965125578,0.2068730029971188,0.008624156883535425,0.1515142973168969,0.16443478073738482,0.29117764937173723,0.3867715846402973,2.8877777777777784,0.8141111111111109
8,0,1.44,0.23563218390804605,0.017241379310344827,0.7951653944020357,0.400763358778626,4.69465648854962,2.01,1.22,0.20502092050209209,0.02301255230125523,0.8482142857142857,0.3482142857142857,4.258928571428571,2.72,0.29900000000000004,0.04020846587903363,0.19559507551963384,0.019986822301401957,0.16690942526141836,0.17071178685713562,0.31013005949340666,0.4900083542188806,0.4900083542188806,0.4900083542188806,0.27043726530349804,0.030301509257943088,0.19819285605923645,0.015972202591218048,0.14321470055106708,0.1499756831375263,0.2804720408594412,0.4965300122022927,1.8388888888888888,0.7517150594221538
9,0,1.06,0.225,0.009375,0.7223618090452262,0.157035175879397,2.148241206030151,5.48,1.02,0.2235494880546075,0.006825938566552901,0.8603573792190603,0.15883520847121113,2.501654533421575,7.17,0.24600000000000005,0.026732487510103663,0.24272836584520954,0.01459069795579086,0.14811470228559714,0.14558292675569576,0.25494270341761804,0.4786050986050986,0.4786050986050986,0.4786050986050986,0.2507705986368313,0.019215671821907795,0.18623021026871436,0.016766856032254942,0.12006275094004065,0.11466967709588825,0.2611037635440325,0.3946439400476782,1.7822222222222222,0.6788261705332648
